"Estamento","Grado","Titulo.Oficio","Funcion.Cargo","Unidad","BrutoHaber"
"PROFESOR HORAS CLASES","S/G","MAGISTER EN DERECHO. MENCION EN DERECHO INTERNACIONAL","HORAS CLASE","DPTO DE ADMINISTRACION",140005
"PROFESOR HORAS CLASES","S/G","ABOGADO(A)","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",258215
"PROFESOR HORAS CLASES","S/G","INGENIERO FISICO","HORAS CLASE","DEPARTAMENTO DE FISICA",718566
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL INDUSTRIAL","ASESOR","DPTO  INGENIERIA INDUSTRIAL",531541
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL INDUSTRIAL","ASESOR","DPTO INGENIERIA GEOGRAFICA",265772
"PROFESOR HORAS CLASES","S/G","DOCTOR EN ESTUDIOS AMERICANOS ESPECIALIDAD ESTUDIOS INTERNACIONALES","HORAS CLASE","DEPTO DE HISTORIA",61696
"TECNICO","9","TECNICO SUPERIOR EN ELECTRONICA CON MENCION EN MICROCOMPUTADORES","TEC. DE SOPORTE Y ESPECIALIDAD","RADIOEMISORAS",998187
"AUXILIARES","23","ESTAFETA","ESTAFETA","DEPARTAMENTO DE COMUNICACIONES",516459
"AUXILIARES","21","AUXILIAR DE SERVICIOS","AUXILIAR DE SERVICIOS","PROGRAMA BACHILLERATO",700990
"PROFESIONALES","13","EDUCADORA DE PARVULOS","EDUCADOR DE PARVULOS","UNIDAD BIENESTAR DEL PERSONAL",1459765
"ADMINISTRATIVO","17","TRABAJADOR SOCIAL","ADMINISTRATIVO DE PROCESO","FACULTAD DE INGENIERÍA",593503
"ADMINISTRATIVO","16","SECRETARIA DE CENTRO","SECRETARIA DE CENTRO","CENTRO INNOV. Y TRANSFER.TECN",745877
"PROFESIONALES","10","PSICOLOGO","ANALISTA DE LA CALIDAD","DIRECCIÓN CALIDAD Y SISTEMAS",1475252
"AUXILIARES","21","AUXILIAR DE SERVICIOS","AUXILIAR DE SERVICIOS","DPTO  INGENIERIA INDUSTRIAL",731483
"PROFESIONALES","8","INGENIERO CIVIL DE INDUSTRIAL","ASESOR DE RECTORIA","RECTORIA",1701190
"TECNICO","20","ASISTENTE TECNICO IMPRESIONES","ASISTENTE TECNICO IMPRESIONES","DEPARTAMENTO DE COMUNICACIONES",556282
"PROFESIONALES","11","TECNOLOGO EN ADMINISTRACION DE PERSONAL","PROFESIONAL","DEPARTAMENTO DE COMUNICACIONES",1633242
"PROFESIONALES","6","INGENIERO CIVIL INDUSTRIAL","ASESOR","CENTRO DE INTEGR ING SOCIEDAD",2278939
"TECNICO","17","AUXILIAR DE ENFERMERIA","AUXILIAR DE ENFERMERIA","CENTRO DE SALUD",616506
"ADMINISTRATIVO","14","ADMINISTRATIVO","ADMINISTRATIVO","DEPTO. DE PUBLICIDAD E IMAGEN",896505
"PROFESIONALES","11","INGENIERO DE EJECUCION EN ALIMENTOS","ENCARGADO DE LABORATORIO","DPTO CIENCIA Y TEC.DE LOS ALIM",1664155
"PROFESIONALES","11","BIOTECNOLOGO MENCION GESTION TECNOLOGICA","PROFESIONAL","CECTA",1396120
"PROFESOR HORAS CLASES","S/G","PROFESOR DE INGLES","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",334435
"PROFESOR HORAS CLASES","S/G","INGENIERO EN ALIMENTOS","HORAS CLASE","DPTO CIENCIA Y TEC.DE LOS ALIM",221644
"PROFESOR HORAS CLASES","S/G","INGENIERO EN ALIMENTOS","HORAS CLASE","DPTO CIENCIA Y TEC.DE LOS ALIM",107481
"PROFESOR HORAS CLASES","S/G","INGENIERIA CIVIL EN QUIMICA","HORAS CLASE","DPTO INGENIERIA QUIMICA",156177
"PROFESOR HORAS CLASES","S/G","INGENIERIA CIVIL EN QUIMICA","HORAS CLASE","DPTO INGENIERIA QUIMICA",149496
"PROFESOR HORAS CLASES","S/G","DOCTOR EN ESTUDIOS AMERICANOS ESPECIALIDAD ESTUDIOS INTERNACIONALES","HORAS CLASE","DEPTO DE HISTORIA",191771
"PROFESOR HORAS CLASES","S/G","MAGISTER EN DERECHO. MENCION EN DERECHO INTERNACIONAL","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",286690
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN INFORMATICA","HORAS CLASE","DPTO INGENIERIA INFORMATICA",528730
"ACADEMICOS","4","DOCTOR EN HISTORIA MENCION EN HISTORIA DE CHILE","ACADEMICO","DEPTO DE HISTORIA",3297654
"PROFESOR HORAS CLASES","S/G","PROFESOR DE FISICA","HORAS CLASE","DEPARTAMENTO DE FISICA",1240616
"PROFESOR HORAS CLASES","S/G","INGENIERO EN ALIMENTOS","HORAS CLASE","DPTO CIENCIA Y TEC.DE LOS ALIM",107481
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN ALIMENTOS","ENCARGADO DE LABORATORIO","DPTO CIENCIA Y TEC.DE LOS ALIM",607475
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL INDUSTRIAL","ASESOR","DPTO  INGENIERIA INDUSTRIAL",265772
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL INDUSTRIAL","ASESOR","DPTO INGENIERIA GEOGRAFICA",265772
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL INDUSTRIAL","ASESOR","DPTO INGENIERIA GEOGRAFICA",8859
"PROFESOR HORAS CLASES","S/G","DOTTORE IN PEDAGOGIA CON LODE","HORAS CLASE","DEPARTAMENTO DE EDUCACIÓN",528730
"PROFESOR HORAS CLASES","S/G","BACHAREL EN LETRAS","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",238582
"PROFESIONALES","12","TECNOLOGO EN CONSTRUCCIONES","PROYECTISTA SANITARIO","UNIDAD DE CONSTRUCCIÓN",1407662
"PROFESOR HORAS CLASES","S/G","TECNOLOGO EN TELECOMUNICACIONES","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",681222
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO  INGENIERIA INDUSTRIAL",47863
"TECNICO","20","MUSICO","MUSICO","DEPARTAMENTO DE EXTENSION",619246
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO CIENCIA Y TEC.DE LOS ALIM",160786
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO INGENIERIA QUIMICA",247858
"PROFESIONALES","8","ABOGADO(A)","ABOGADO","DIR. ASISTENCIA JURIDICA",1701190
"TECNICO","17","AUXILIAR DE ENFERMERIA","AUXILIAR DE ENFERMERIA","CENTRO DE SALUD",641238
"PROFESOR HORAS CLASES","S/G","DOCTOR EN ARQUITECTURA Y PATRIMONIO CULTURAL-AMBIENTAL(INVEST. REFLEX. ACCION)","HORAS CLASE","DEPTO DE HISTORIA",251534
"PROFESOR HORAS CLASES","S/G","MEDICO CIRUJANO","HORAS CLASE","ESCUELA DE MEDICINA",482851
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",392134
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",385453
"ADMINISTRATIVO","17","ADMINISTRATIVO DE PROCESO","ADMINISTRATIVO DE PROCESO","DPTO. DE RECURSOS HUMANOS",593503
"TECNICO","18","TECNICO EN MAQUINAS OFFSETT","TECNICO EN MAQUINAS OFFSETT","DPTO INGENIERIA MECANICA",790172
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",385453
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",378041
"ACADEMICOS","4","DOCTOR OF ECONOMICS","ACADEMICO","DPTO. DE INVEST. CIENTIFICA",3128764
"ADMINISTRATIVO","12","ADMINISTRATIVO ESPECIALES","ADMINISTRATIVO ESPECIALES","SELLO EDITORIAL",749415
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",1088747
"PROFESOR HORAS CLASES","S/G","DOCTOR OF PHILOSOPHY","HORAS CLASE","DPTO INGENIERIA GEOGRAFICA",305674
"PROFESIONALES","14","TECNOLOGO EN CONTROL INDUSTRIAL","ANALISTA","UNIDAD DE ADQUISICIONES",1147781
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL DE INDUSTRIAS CON MENCION EN ELECTRICIDAD","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",462725
"PROFESOR HORAS CLASES","S/G","QUIMICO FARMACEUTICO","HORAS CLASE","DEPARTAMENTO DE BIOLOGIA",853825
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN GEOGRAFIA","HORAS CLASE","DPTO INGENIERIA GEOGRAFICA",405774
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL ELECTRONICO","HORAS CLASE","DPTO INGENIERIA ELECTRICA",322067
"PROFESIONALES","13","SOCIOLOGO","ANALISTA BASE DE DATOS","UNIDAD REGIST. ACAD Y CURRICUL",1346174
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL DE INDUSTRIAS CON MENCION EN ELECTRICIDAD","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",469406
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO DE MATEMATICAS Y ESTADISTICA","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",614156
"ACADEMICOS","6","INGENIERO EN ALIMENTOS","ACADEMICO","DPTO. DE INVEST. CIENTIFICA",2550387
"ACADEMICOS","6","PERIODISTA","ACADEMICO","VICERRECTORIA ACADÉMICA",2925591
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO DE MATEMATICAS Y ESTADISTICA","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",455606
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO DE MATEMATICAS Y ESTADISTICA","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",151869
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN GEOGRAFIA","HORAS CLASE","DPTO INGENIERIA GEOGRAFICA",141940
"ACADEMICOS","6","DOCTOR EN CIENCIAS DE RECURSOS NATURALES","ACADEMICO","DPTO. QUIMICA DE LOS MATERIALE",2622706
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN GEOGRAFIA","HORAS CLASE","DPTO INGENIERIA GEOGRAFICA",13526
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN GEOGRAFIA","HORAS CLASE","DPTO INGENIERIA GEOGRAFICA",405774
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO DE INGLES","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",75195
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO INGENIERIA MECANICA",190455
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO DE INGLES","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",551925
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL MECANICO","HORAS CLASE","DPTO INGENIERIA MECANICA",58159
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",154242
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO DE INGLES","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",85527
"ADMINISTRATIVO","15","SECRETARIA ADMINISTRATIVA","SECRETARIA ADMINISTRATIVA","UNIDAD DE BIBLIOTECAS",869088
"PROFESIONALES","8","PROFESOR DE EDUCACION MEDIA EN MATEMATICAS Y FÍSICA","JEFE DE AREA","VICERRECTORIA ACADÉMICA",1271448
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",315166
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN QUIMICA","HORAS CLASE","DPTO INGENIERIA QUIMICA",163878
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN QUIMICA","HORAS CLASE","DPTO INGENIERIA QUIMICA",170559
"PROFESOR HORAS CLASES","S/G","MAGISTER EN EDUCACION MENCION ORIENTACION EDUCACIONAL","HORAS CLASE","DEPARTAMENTO DE EDUCACIÓN",600416
"AUXILIARES","23","AUXILIAR DE SERVICIOS","AUXILIAR DE SERVICIOS","FACULTAD DE QUIMICA Y BIOLOGIA",506774
"PROFESIONALES","10","SOCIOLOGO","ANALISTA DE LA CALIDAD","DIRECCIÓN CALIDAD Y SISTEMAS",1763677
"ADMINISTRATIVO","21","ADMINISTRATIVO","ADMINISTRATIVO","DIRECCIÓN CALIDAD Y SISTEMAS",569976
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN INGLES","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",674557
"PROFESOR HORAS CLASES","S/G","MAGISTER EN EDUCACION MENCION ORIENTACION EDUCACIONAL","HORAS CLASE","DEPARTAMENTO DE EDUCACIÓN",206819
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",1069764
"PROFESIONALES","8","INGENIERO EN GESTION INFORMATICA","PROFESIONAL","DPTO INGENIERIA METALURGICA",1845194
"ACADEMICOS","6","PERIODISTA","SECRETARIO FACULTAD DE DERECHO","FACULTAD DE DERECHO",3253080
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",408642
"ACADEMICOS","4","DOCTOR EN ESTUDIOS AMERICANOS EN LA MENCION PENSAMIENTO Y CULTURA","ACADEMICO","INSTITUTO DE ESTUDIOS AVANZADO",3107653
"PROFESIONALES","6","ABOGADO(A)","ABOGADO","DIR. ASISTENCIA JURIDICA",2031770
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN GEOMENSURA","HORAS CLASE","DPTO INGENIERIA GEOGRAFICA",762761
"PROFESOR HORAS CLASES","S/G","QUIMICO","HORAS CLASE","DPTO. QUIMICA DE LOS MATERIALE",203844
"PROFESOR HORAS CLASES","S/G","CONTADOR AUDITOR","HORAS CLASE","DPTO CONTABILIDAD Y AUDITOR",747041
"PROFESIONALES","12","INGENIERO DE EJECUCION EN TEXTIL","ENCARGADO DE LABORATORIO","DPTO INGENIERIA QUIMICA",724284
"ADMINISTRATIVO","20","ADMINISTRATIVO DE APOYO","ADMINISTRATIVO DE APOYO","DPTO. PLANFIC Y PRESUPUESTARIA",587764
"PROFESIONALES","10","MAGISTER EN GESTION CULTURAL APLICADA: POLITICAS Y GESTION DE INSTITUCIONES CULTURALES","JEFE DE SECCION","UNIDAD DE VOCACION ARTISTICA",776687
"PROFESIONALES","10","SOCIOLOGO","ANALISTA DE GESTION I","DIR.  DESARROLLO INSTITUCIONAL",1475252
"ADMINISTRATIVO","20","ASISTENTE DE BIBLIOTECA","ASISTENTE DE BIBLIOTECA","UNIDAD DE BIBLIOTECAS",545788
"ACADEMICOS","6","DOCTOR EN QUIMICA INORGÁNICA MOLECULAR","ACADEMICO","DPTO. QUIMICA DE LOS MATERIALE",3868466
"PROFESOR HORAS CLASES","S/G","INGENIERO COMERCIAL EN ECONOMIA","HORAS CLASE","DPTO CONTABILIDAD Y AUDITOR",248723
"PROFESOR HORAS CLASES","S/G","QUIMICO","HORAS CLASE","DPTO. QUIMICA DE LOS MATERIALE",450606
"PROFESOR HORAS CLASES","S/G","MAGISTER EN GESTION CULTURAL APLICADA: POLITICAS Y GESTION DE INSTITUCIONES CULTURALES","JEFE DE SECCION","UNIDAD DE VOCACION ARTISTICA",1044099
"PROFESOR HORAS CLASES","S/G","PUBLICISTA","HORAS CLASE","DEPTO. DE PUBLICIDAD E IMAGEN",185313
"PROFESOR HORAS CLASES","S/G","MAGISTER EN CIENCIA POLITICA","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",243977
"PROFESOR HORAS CLASES","S/G","PUBLICISTA","HORAS CLASE","DEPTO. DE PUBLICIDAD E IMAGEN",238323
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO INGENIERIA INFORMATICA",370180
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","FACULTAD DE CIENCIAS MEDICAS",416372
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO  INGENIERIA INDUSTRIAL",160609
"PROFESOR HORAS CLASES","S/G","PUBLICISTA","HORAS CLASE","DEPTO. DE PUBLICIDAD E IMAGEN",191994
"PROFESOR HORAS CLASES","S/G","PUBLICISTA","HORAS CLASE","DEPTO. DE PUBLICIDAD E IMAGEN",231642
"PROFESOR HORAS CLASES","S/G","INGENIERO COMERCIAL","HORAS CLASE","DPTO CIENCIA Y TEC.DE LOS ALIM",251534
"PROFESOR HORAS CLASES","S/G","INGENIERO COMERCIAL","HORAS CLASE","DPTO  INGENIERIA INDUSTRIAL",635513
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO INGENIERIA QUIMICA",408642
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN OBRAS CIVILES","HORAS CLASE","DPTO INGENIERIA OBRAS CIVILES",290210
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO INGENIERIA INFORMATICA",220828
"PROFESOR HORAS CLASES","S/G","DOCTOR EN GEOGRAFIA. PLANIFICACION TERRITORIAL Y GESTION AMBIENTAL","HORAS CLASE","PROGRAMA BACHILLERATO",652562
"PROFESOR HORAS CLASES","S/G","MAGISTER EN LINGÜÍSTICA MENCION SOCIOLINGUISTICA HISPONOAMERICANA","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",262961
"PROFESIONALES","10","INGENIERO DE EJECUCION EN MINAS","RESPONSABLE TEC TEMP Y PRESION","DPTO INGENIERIA ELECTRICA",1491171
"PROFESIONALES","10","CONTADOR PUBLICO Y AUDITOR","AUDITOR I","CONTRALORIA UNIVERSITARIA",1475252
"AUXILIARES","19","AUXILIAR DE SERVICIOS","AUXILIAR DE SERVICIOS","INSTITUTO DE ESTUDIOS AVANZADO",601224
"PROFESIONALES","10","PERIODISTA","PROFESIONAL","DEPARTAMENTO DE COMUNICACIONES",1475252
"ADMINISTRATIVO","15","SECRETARIA DE APOYO DOCENTE","SECRETARIA DE APOYO DOCENTE","DPTO MAT. Y CS. DE LA COMP.",882242
"AUXILIARES","21","MAYORDOMO","MAYORDOMO","CENTRO FELIX KLEIN",542034
"PROFESIONALES","6","INGENIERO CIVIL EN INFORMATICA","PROFESIONAL","UNIDAD REGIST. ACAD Y CURRICUL",2566005
"ADMINISTRATIVO","18","ADMINISTRATIVO DE REGISTRO CUR","ADMINISTRATIVO DE REGISTRO CUR","FACULTAD DE ADMINIST Y ECONOMI",676734
"ADMINISTRATIVO","17","SECRETARIA DE DIRECCION","SECRETARIA DE DIRECCION","DIRECCIÓN DE POSTGRADO",694076
"PROFESOR HORAS CLASES","S/G","PROFESOR DE INGLES","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",280009
"ACADEMICOS","6","ADMINISTRADOR PUBLICO","JEFE DE CARRERA ADM. PUBLICA","DPTO. GESTION Y POLITICAS PUB.",2997910
"PROFESOR HORAS CLASES","S/G","PROFESOR DE INGLES","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",286690
"PROFESOR HORAS CLASES","S/G","DOCTOR EN GEOGRAFIA. PLANIFICACION TERRITORIAL Y GESTION AMBIENTAL","HORAS CLASE","PROGRAMA BACHILLERATO",398217
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",429197
"ACADEMICOS","6","MASTER UNIVERSITARIO DI I LIVELLO IN DESIGN PER LO SVILUPPO DEL PRODOTTO INDUSTRIALE","ACADEMICO","DPTO. TECNOLOGIAS GENERALES",2622706
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN MINAS","HORAS CLASE","DPTO INGENIERIA EN MINAS",253469
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN INFORMATICA","PROFESIONAL","DPTO MAT. Y CS. DE LA COMP.",569508
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN INFORMATICA","PROFESIONAL","DPTO MAT. Y CS. DE LA COMP.",149059
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN INFORMATICA","PROFESIONAL","DPTO MAT. Y CS. DE LA COMP.",142378
"PROFESOR HORAS CLASES","S/G","MAGISTER EN LINGÜÍSTICA MENCION SOCIOLINGUISTICA HISPONOAMERICANA","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",56141
"PROFESOR HORAS CLASES","S/G","MAGISTER EN LINGÜÍSTICA MENCION SOCIOLINGUISTICA HISPONOAMERICANA","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",56141
"PROFESOR HORAS CLASES","S/G","ADMINISTRADOR PUBLICO","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",109636
"AUXILIARES","21","MAYORDOMO","MAYORDOMO","FACULTAD DE CIENCIAS MEDICAS",559812
"PROFESIONALES","14","BIBLIOTECARIO DOCUMENTALISTA","BIBLIOTECARIO","FACULTAD DE HUMANIDADES",1160601
"PROFESOR HORAS CLASES","S/G","PERIODISTA","HORAS CLASE","ESCUELA DE PERIODISMO",377309
"PROFESIONALES","8","ABOGADO(A)","ABOGADO","CONTRALORIA UNIVERSITARIA",1737191
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","DPTO. TECNOLOGIAS GENERALES",251534
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","DPTO. TECNOLOGIAS GENERALES",258215
"ADMINISTRATIVO","17","SECRETARIA DE DIRECCION","SECRETARIA DE DIRECCION","DPTO INGENIERIA METALURGICA",641238
"ACADEMICOS","4","DOCTOR OF PHILOSOPHY IN TECHNICAL SCIENCES","ACADEMICO","DPTO INGENIERIA METALURGICA",3213209
"PROFESOR HORAS CLASES","S/G","PUBLICISTA","HORAS CLASE","DEPTO. DE PUBLICIDAD E IMAGEN",538222
"PROFESOR HORAS CLASES","S/G","PSICOLOGA","HORAS CLASE","ESCUELA DE PSICOLOGIA",58159
"PROFESOR HORAS CLASES","S/G","CIENTISTA POLITICA","HORAS CLASE","DEPTO DE HISTORIA",191994
"ADMINISTRATIVO","12","ADMINISTRATIVO ESPECIALES","ADMINISTRATIVO ESPECIALES","DEPTO. BENEFICIOS ESTUDIANTILE",1297368
"PROFESIONALES","10","INGENIERO FISICO","ANALISTA DE GESTION I","DIRECCIÓN DE POSTGRADO",1475252
"ADMINISTRATIVO","17","ADMINISTRATIVO DE APOYO","ADMINISTRATIVO DE APOYO","DPTO MAT. Y CS. DE LA COMP.",605004
"ADMINISTRATIVO","15","SECRETARIO B","SECRETARIO B","DPTO INGENIERIA QUIMICA",734575
"TECNICO","18","TECNICO EN BIBLIOTECAS","TECNICO EN BIBLIOTECAS","UNIDAD DE BIBLIOTECAS",596067
"AUXILIARES","21","ESTAFETA","ESTAFETA","ESCUELA DE MEDICINA",687527
"ACADEMICOS","4","DOCTOR EN MICROBIOLOGIA","ACADEMICO","DEPARTAMENTO DE BIOLOGIA",3107653
"PROFESIONALES","6","PSICOLOGO CLINICO","PSICOLOGO CLINICO","ESCUELA DE PSICOLOGIA",577345
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESPAÑOL","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",185313
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESPAÑOL","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",191994
"PROFESOR HORAS CLASES","S/G","ENFERMERA","HORAS CLASE","ESCUELA DE ENFERMERIA",747896
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL DE INDUSTRIAS","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",243977
"ADMINISTRATIVO","15","SECRETARIA EJECUTIVA GERENCIAL","SECRETARIA ADMINISTRATIVA","DEPARTAMENTO DE EDUCACIÓN",818583
"TECNICO","20","TECNICO","TECNICO","FACULTAD DE QUIMICA Y BIOLOGIA",566776
"ADMINISTRATIVO","12","ADMINISTRATIVO UNICIT","ADMINISTRATIVO UNICIT","UNIDAD DE PROYECTO UNICYT",721162
"PROFESOR HORAS CLASES","S/G","PROFESOR DE INGLES","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",807236
"ACADEMICOS","4","DOCTOR EN CIENCIAS CON MENCION EN FISICA","ACADEMICO","DEPARTAMENTO DE FISICA",3107653
"PROFESIONALES","8","INGENIERÍA DE EJECUCIÓN AGRÍCOLA CON MENCIÓN EN GANADERÍA","ANALISTA GEST. II COORD UNICIT","UNIDAD DE PROYECTO UNICYT",1701190
"PROFESOR HORAS CLASES","S/G","ADMINISTRADOR PUBLICO","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",185313
"PROFESOR HORAS CLASES","S/G","ADMINISTRADOR PUBLICO","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",469965
"PROFESOR HORAS CLASES","S/G","ADMINISTRADOR PUBLICO","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",92656
"PROFESOR HORAS CLASES","S/G","ADMINISTRADOR PUBLICO","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",185313
"PROFESOR HORAS CLASES","S/G","ADMINISTRADOR PUBLICO","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",92656
"PROFESOR HORAS CLASES","S/G","ADMINISTRADOR PUBLICO","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",24708
"PROFESOR HORAS CLASES","S/G","ADMINISTRADOR PUBLICO","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",6177
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",955862
"PROFESOR HORAS CLASES","S/G","MAGISTER EN HISTORIA","HORAS CLASE","DEPTO DE HISTORIA",253469
"ADMINISTRATIVO","17","ADMINISTRATIVO REMUNERACIONES","ADMINISTRATIVO REMUNERACIONES","DPTO. DE RECURSOS HUMANOS",605004
"ADMINISTRATIVO","17","OPERADOR DE CALDERA","OPERADOR DE CALDERA","DEPARTAMENTO DE DEPORTES",815719
"PROFESOR HORAS CLASES","S/G","MAGISTER EN ADMINISTRACION Y DIRECCION DE RRHH.","HORAS CLASE","PROGRAMA BACHILLERATO",520517
"PROFESIONALES","8","TECNOLOGO EN ADMINISTRACION DE PERSONAL","JEFE DE SECCION","DEPTO. DESARROLLO DE PERSONAS",1827194
"ADMINISTRATIVO","17","SECRETARIA DE APOYO DOCENTE","SECRETARIA DE APOYO DOCENTE","ESCUELA DE MEDICINA",664241
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",993829
"AUXILIARES","23","AUXILIAR","AUXILIAR","UNIDAD DE GESTION DEL CAMPUS",506774
"PROFESIONALES","13","MEDICO VETERINARIO","ANALISTA GEST. II COORD UNICIT","UNIDAD DE PROYECTO UNICYT",1188565
"ADMINISTRATIVO","16","ADMINISTRATIVO DE PROCESO","ADMINISTRATIVO DE PROCESO","UNIDAD DE PROYECTO UNICYT",740764
